lv,power,hp,shield,spd,def,elemdef,luck
1,104,345,0,13,0,0,0
2,114,389,0,13,0,0,0
3,124,433,0,13,0,0,0
4,134,477,0,13,0,0,0
5,144,521,0,13,0,0,0
6,154,565,0,13,0,0,0
7,164,609,0,13,0,0,0
8,174,653,0,13,0,0,0
9,184,697,0,13,0,0,0
10,194,741,0,13,0,0,0
11,204,785,0,13,0,0,0
12,214,829,0,13,0,0,0
13,224,873,0,13,0,0,0
14,234,917,0,13,0,0,0
15,244,961,0,13,0,0,0
16,254,1005,0,13,0,0,0
17,264,1049,0,13,0,0,0
18,274,1093,0,13,0,0,0
19,284,1137,0,13,0,0,0
20,294,1181,0,13,0,0,0
21,304,1225,0,13,0,0,0
22,314,1269,0,13,0,0,0
23,324,1313,0,13,0,0,0
24,334,1357,0,13,0,0,0
25,344,1401,0,13,0,0,0
26,354,1445,0,13,0,0,0
27,364,1489,0,13,0,0,0
28,374,1533,0,13,0,0,0
29,384,1577,0,13,0,0,0
30,394,1621,0,13,0,0,0
31,404,1665,0,13,0,0,0
32,414,1709,0,13,0,0,0
33,424,1753,0,13,0,0,0
34,434,1797,0,13,0,0,0
35,444,1841,0,13,0,0,0
36,454,1885,0,13,0,0,0
37,464,1929,0,13,0,0,0
38,474,1973,0,13,0,0,0
39,484,2017,0,13,0,0,0
40,494,2061,0,13,0,0,0
41,504,2105,0,13,0,0,0
42,514,2149,0,13,0,0,0
43,524,2193,0,13,0,0,0
44,534,2237,0,13,0,0,0
45,544,2281,0,13,0,0,0
46,554,2325,0,13,0,0,0
47,564,2369,0,13,0,0,0
48,574,2413,0,13,0,0,0
49,584,2457,0,13,0,0,0
50,594,2501,0,13,0,0,0
51,604,2545,0,13,0,0,0
52,614,2589,0,13,0,0,0
53,624,2633,0,13,0,0,0
54,634,2677,0,13,0,0,0
55,644,2721,0,13,0,0,0
56,654,2765,0,13,0,0,0
57,664,2809,0,13,0,0,0
58,674,2853,0,13,0,0,0
59,684,2897,0,13,0,0,0
60,694,2941,0,13,0,0,0
61,704,2985,0,13,0,0,0
62,714,3029,0,13,0,0,0
63,724,3073,0,13,0,0,0
64,734,3117,0,13,0,0,0
65,744,3161,0,13,0,0,0
66,754,3205,0,13,0,0,0
67,764,3249,0,13,0,0,0
68,774,3293,0,13,0,0,0
69,784,3337,0,13,0,0,0
70,794,3381,0,13,0,0,0
71,804,3425,0,13,0,0,0
72,814,3469,0,13,0,0,0
73,824,3513,0,13,0,0,0
74,834,3557,0,13,0,0,0
75,844,3601,0,13,0,0,0
76,854,3645,0,13,0,0,0
77,864,3689,0,13,0,0,0
78,874,3733,0,13,0,0,0
79,884,3777,0,13,0,0,0
80,894,3821,0,13,0,0,0
81,904,3865,0,13,0,0,0
82,914,3909,0,13,0,0,0
83,924,3953,0,13,0,0,0
84,934,3997,0,13,0,0,0
85,944,4041,0,13,0,0,0
86,954,4085,0,13,0,0,0
87,964,4129,0,13,0,0,0
88,974,4173,0,13,0,0,0
89,984,4217,0,13,0,0,0
90,994,4261,0,13,0,0,0
91,1004,4305,0,13,0,0,0
92,1014,4349,0,13,0,0,0
93,1024,4393,0,13,0,0,0
94,1034,4437,0,13,0,0,0
95,1044,4481,0,13,0,0,0
96,1054,4525,0,13,0,0,0
97,1064,4569,0,13,0,0,0
98,1074,4613,0,13,0,0,0
99,1084,4657,0,13,0,0,0
100,1094,4701,0,13,0,0,0
